num_save_mc,num_saves,output_dir,version,start_time
1000,3,output/sim_1,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:04.780231
1000,3,output/sim_2,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:09.900840
1000,3,output/sim_3,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:14.989305
1000,3,output/sim_4,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:19.933974
1000,3,output/sim_5,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:24.809177
1000,3,output/sim_6,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:29.799103
1000,3,output/sim_7,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:34.770139
1000,3,output/sim_8,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:42.242119
1000,3,output/sim_9,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:50.480785
1000,3,output/sim_10,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:37:58.938848
1000,3,output/sim_11,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:07.690752
1000,3,output/sim_12,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:16.938210
1000,3,output/sim_13,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:25.443447
1000,3,output/sim_14,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:33.872794
1000,3,output/sim_15,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:42.775155
1000,3,output/sim_16,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:38:51.148655
1000,3,output/sim_17,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:00.205014
1000,3,output/sim_18,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:08.541757
1000,3,output/sim_19,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:17.218765
1000,3,output/sim_20,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:25.215934
1000,3,output/sim_21,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:33.697280
1000,3,output/sim_22,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:41.980997
1000,3,output/sim_23,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:49.896583
1000,3,output/sim_24,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:39:57.794569
1000,3,output/sim_25,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:06.297742
1000,3,output/sim_26,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:14.548304
1000,3,output/sim_27,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:22.576265
1000,3,output/sim_28,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:30.917212
1000,3,output/sim_29,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:39.005097
1000,3,output/sim_30,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:46.914094
1000,3,output/sim_31,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:40:54.894350
1000,3,output/sim_32,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:41:03.157776
1000,3,output/sim_33,v0.0.1+218.ga69d74f.dirty,2023-02-24 16:41:11.289865
40000,200,output/sim_34,v0.0.1+218.ga69d74f.dirty,2023-02-28 15:23:30.709332
40000,200,output/sim_35,v0.0.1+218.ga69d74f.dirty,2023-03-03 13:44:48.532071
40000,200,output/sim_36,v0.0.1+218.ga69d74f.dirty,2023-03-03 14:28:00.245681
